source_id,title,download_status,download_date,local_file_name,file_type,added_to_anythingllm,notes
RAG-001,NIST Cybersecurity Framework (CSF) 2.0,not_started,,rag_corpus/01_nist/nist_csf_2_0.pdf,,no,
RAG-002,NIST SP 800-61 Rev. 3: Incident Response Recommendations and Considerations for Cybersecurity Risk Management,not_started,,rag_corpus/01_nist/nist_sp_800_61r3.pdf,,no,
RAG-003,MITRE ATT&CK Enterprise Matrix,not_started,,rag_corpus/02_mitre/attack_enterprise_matrix.html_or_pdf,,no,
RAG-004,MITRE ATT&CK Version History,not_started,,docs/references/mitre_attack_version_history_snapshot.md,,no,
RAG-005,MITRE ATT&CK STIX Data,not_started,,rag_corpus/02_mitre/attack-stix-data/,,no,
RAG-006,OWASP Top 10 for Large Language Model Applications,not_started,,rag_corpus/03_owasp/owasp_llm_top_10_2025.pdf_or_pages,,no,
RAG-007,CISA Known Exploited Vulnerabilities Catalog,not_started,,rag_corpus/04_cisa/known_exploited_vulnerabilities.csv,,no,
RAG-008,NVD Vulnerability APIs,not_started,,rag_corpus/05_vulnerabilities/nvd_api_exports/,,no,
RAG-009,CWE Top 25 Most Dangerous Software Weaknesses,not_started,,rag_corpus/05_vulnerabilities/cwe_top_25_2024.html_or_pdf,,no,
RAG-010,CWE Top 25 2024 Methodology,not_started,,docs/references/cwe_top_25_2024_methodology_snapshot.md,,no,
RAG-011,CISA Cybersecurity Alerts and Advisories,not_started,,rag_corpus/04_cisa/advisories/,,no,
RAG-012,NIST AI Risk Management Framework,not_started,,rag_corpus/01_nist/nist_ai_rmf_1_0.pdf,,no,
RAG-013,OWASP API Security Top 10,not_started,,rag_corpus/03_owasp/owasp_api_security_top_10.pdf_or_pages,,no,
RAG-014,OWASP Web Security Testing Guide,not_started,,rag_corpus/03_owasp/owasp_wstg/,,no,
RAG-015,NIST SP 800-53 Rev. 5 Security and Privacy Controls,not_started,,rag_corpus/01_nist/nist_sp_800_53r5.pdf,,no,
RAG-016,CISA StopRansomware Guidance,not_started,,rag_corpus/04_cisa/stopransomware/,,no,
RAG-017,Microsoft Security Incident Response Guide,not_started,,rag_corpus/06_vendor_guidance/microsoft_ir_overview.md,,no,
RAG-018,Google Cloud Security Incident Response Guidance,not_started,,rag_corpus/06_vendor_guidance/google_cloud_ir.md,,no,
