source_id,title,publisher,version_or_date,url,recommended_use,benchmark_categories,priority,suggested_local_path,notes
RAG-001,NIST Cybersecurity Framework (CSF) 2.0,NIST,2024,https://www.nist.gov/publications/nist-cybersecurity-framework-csf-20,RAG + paper citation,Cybersecurity Knowledge; Incident Response,High,rag_corpus/01_nist/nist_csf_2_0.pdf,"Use for cybersecurity risk-management framing, Govern/Identify/Protect/Detect/Respond/Recover language, and general knowledge questions."
RAG-002,NIST SP 800-61 Rev. 3: Incident Response Recommendations and Considerations for Cybersecurity Risk Management,NIST CSRC,"Final, April 2025",https://csrc.nist.gov/pubs/sp/800/61/r3/final,RAG + paper citation,Incident Response; Cybersecurity Knowledge,High,rag_corpus/01_nist/nist_sp_800_61r3.pdf,Primary source for incident response evaluation and expected response ordering.
RAG-003,MITRE ATT&CK Enterprise Matrix,MITRE,Current website version,https://attack.mitre.org/matrices/enterprise/,RAG + paper citation,MITRE ATT&CK Mapping; Alert Classification,High,rag_corpus/02_mitre/attack_enterprise_matrix.html_or_pdf,Use for high-level tactics and technique families. Prefer STIX data for machine-readable mapping.
RAG-004,MITRE ATT&CK Version History,MITRE,"v19.1 listed current April 28, 2026",https://attack.mitre.org/resources/versions/,paper citation + version control,MITRE ATT&CK Mapping,High,docs/references/mitre_attack_version_history_snapshot.md,Record the ATT&CK version used so the paper can report source freshness.
RAG-005,MITRE ATT&CK STIX Data,MITRE,GitHub repository,https://github.com/mitre-attack/attack-stix-data,RAG + evaluation source + dataset generation,MITRE ATT&CK Mapping; Alert Classification,High,rag_corpus/02_mitre/attack-stix-data/,"Use for machine-readable ATT&CK technique IDs, names, descriptions, and tactic mappings."
RAG-006,OWASP Top 10 for Large Language Model Applications,OWASP,2025 list / current project page,https://owasp.org/www-project-top-10-for-large-language-model-applications/,RAG + paper citation,Prompt-Injection Resistance; Hallucination Resistance,High,rag_corpus/03_owasp/owasp_llm_top_10_2025.pdf_or_pages,"Primary source for prompt injection, excessive agency, overreliance, and LLM application risks."
RAG-007,CISA Known Exploited Vulnerabilities Catalog,CISA,Continuously updated,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,RAG + evaluation source,Hallucination Resistance; Cybersecurity Knowledge; Incident Response,High,rag_corpus/04_cisa/known_exploited_vulnerabilities.csv,Use for questions about known exploitation status. Must record download/access date.
RAG-008,NVD Vulnerability APIs,NIST NVD,API 2.0,https://nvd.nist.gov/developers/vulnerabilities,evaluation source + verification,Hallucination Resistance; Cybersecurity Knowledge,High,rag_corpus/05_vulnerabilities/nvd_api_exports/,Use to verify whether CVEs exist and to prevent fake-CVE hallucinations.
RAG-009,CWE Top 25 Most Dangerous Software Weaknesses,MITRE CWE,2024 list,https://cwe.mitre.org/top25/index.html,RAG + paper citation,Cybersecurity Knowledge; Alert Classification,Medium,rag_corpus/05_vulnerabilities/cwe_top_25_2024.html_or_pdf,"Use for weakness knowledge such as SQL injection, improper input validation, and file upload weaknesses."
RAG-010,CWE Top 25 2024 Methodology,MITRE CWE,2024 methodology,https://cwe.mitre.org/top25/archive/2024/2024_methodology.html,paper citation,Cybersecurity Knowledge,Medium,docs/references/cwe_top_25_2024_methodology_snapshot.md,Use for explaining how CWE Top 25 relates to CVE records and weakness prevalence.
RAG-011,CISA Cybersecurity Alerts and Advisories,CISA,Continuously updated,https://www.cisa.gov/news-events/cybersecurity-advisories,RAG source updates,Cybersecurity Knowledge; Incident Response; Alert Classification,Medium,rag_corpus/04_cisa/advisories/,Use selectively. Do not overload RAG with too many advisories; choose relevant recent examples.
RAG-012,NIST AI Risk Management Framework,NIST,AI RMF 1.0,https://www.nist.gov/itl/ai-risk-management-framework,paper framing,Prompt-Injection Resistance; Hallucination Resistance,Medium,rag_corpus/01_nist/nist_ai_rmf_1_0.pdf,"Use for AI risk-management framing, not for core cybersecurity answers."
RAG-013,OWASP API Security Top 10,OWASP,Current project page,https://owasp.org/www-project-api-security/,RAG source,Cybersecurity Knowledge; Alert Classification,Medium,rag_corpus/03_owasp/owasp_api_security_top_10.pdf_or_pages,Useful for API abuse and access-control scenarios if those appear in the benchmark.
RAG-014,OWASP Web Security Testing Guide,OWASP,Current project page,https://owasp.org/www-project-web-security-testing-guide/,RAG source,Cybersecurity Knowledge; Alert Classification,Medium,rag_corpus/03_owasp/owasp_wstg/,Useful for general web security concepts and defensive testing terminology.
RAG-015,NIST SP 800-53 Rev. 5 Security and Privacy Controls,NIST,Rev. 5,https://csrc.nist.gov/publications/detail/sp/800-53/rev-5/final,optional RAG/paper source,Cybersecurity Knowledge; Incident Response,Low,rag_corpus/01_nist/nist_sp_800_53r5.pdf,"Useful if the paper needs control language, but not necessary for first RAG build."
RAG-016,CISA StopRansomware Guidance,CISA,Current page,https://www.cisa.gov/stopransomware,RAG source,Incident Response; Cybersecurity Knowledge,Medium,rag_corpus/04_cisa/stopransomware/,Useful for ransomware response and prevention scenarios.
RAG-017,Microsoft Security Incident Response Guide,Microsoft,Current documentation,https://learn.microsoft.com/en-us/security/operations/incident-response-overview,optional RAG source,Incident Response; Alert Classification,Low,rag_corpus/06_vendor_guidance/microsoft_ir_overview.md,"Useful as practical vendor guidance, but should not outrank NIST in paper framing."
RAG-018,Google Cloud Security Incident Response Guidance,Google Cloud,Current documentation,https://cloud.google.com/security/incident-response,optional RAG source,Incident Response,Low,rag_corpus/06_vendor_guidance/google_cloud_ir.md,Optional practical source for cloud incident response.
