id,name,url,type,use,categories,priority,freshness,notes,status,local_path,download_date,version_or_commit,license_notes
SRC-001,NIST Cybersecurity Framework 2.0,https://www.nist.gov/cyberframework,Framework / PDF,RAG + paper background,"Cybersecurity Knowledge, Incident Response",Core,Check NIST page before final paper,Use for high-level cybersecurity risk-management structure.,Not started,,,,Verify before redistribution
SRC-002,NIST SP 800-61 Rev. 3: Incident Response Recommendations,https://csrc.nist.gov/pubs/sp/800/61/r3/final,Incident response guidance / PDF,RAG + incident-response benchmark anchor,"Incident Response, Cybersecurity Knowledge",Core,Final publication page; verify PDF version/date,"Use for preparation, detection, analysis, containment, eradication, recovery, and improvement framing.",Not started,,,,Verify before redistribution
SRC-003,MITRE ATT&CK Enterprise Matrix,https://attack.mitre.org/matrices/enterprise/,Knowledge base,RAG + MITRE mapping ground truth,"MITRE ATT&CK Mapping, Alert Classification",Core,Record ATT&CK version used in paper,Use tactic/technique IDs and descriptions only from official ATT&CK.,Not started,,,,Verify before redistribution
SRC-004,MITRE ATT&CK STIX Data,https://github.com/mitre-attack/attack-stix-data,Machine-readable STIX JSON,RAG corpus + structured mapping extraction,MITRE ATT&CK Mapping,Core,Pin commit hash or release/version,"Use Enterprise ATT&CK JSON for technique IDs, names, and descriptions.",Not started,,,,Verify before redistribution
SRC-005,OWASP Top 10 for Large Language Model Applications 2025,https://owasp.org/www-project-top-10-for-large-language-model-applications/,LLM security framework,Prompt-injection benchmark anchor,"Prompt-Injection Resistance, Hallucination Resistance",Core,Verify 2025 list/version before final paper,Use especially LLM01 Prompt Injection and overreliance/security risks.,Not started,,,,Verify before redistribution
SRC-006,CISA Known Exploited Vulnerabilities Catalog,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,Vulnerability catalog / JSON / CSV,RAG + hallucination verification + vulnerability examples,"Hallucination Resistance, Cybersecurity Knowledge",Core,Download close to experiment date and record timestamp,Use to verify whether a CVE is known exploited by CISA.,Not started,,,,Verify before redistribution
SRC-007,NVD CVE API 2.0,https://nvd.nist.gov/developers/vulnerabilities,CVE API,Hallucination verification + evaluation data,"Hallucination Resistance, Cybersecurity Knowledge",Core,Query close to experiment date; cache responses,"Use for CVE existence, descriptions, severity where available.",Not started,,,,Verify before redistribution
SRC-008,CWE Top 25 Most Dangerous Software Weaknesses 2025,https://cwe.mitre.org/top25/,Weakness ranking,RAG + knowledge/alert support,"Cybersecurity Knowledge, Alert Classification",Recommended,Use current archive page and cite year/version,"Use to support common weakness examples like injection, XSS, access control.",Not started,,,,Verify before redistribution
SRC-009,SecBench: cybersecurity LLM benchmark,https://arxiv.org/abs/2412.20787,Benchmark paper/dataset reference,Paper precedent + candidate evaluation data,"Cybersecurity Knowledge, Alert Classification",Recommended,Check artifact/dataset link and license,Use for benchmark design precedent and potential data source if license allows.,Not started,,,,Verify before redistribution
SRC-010,CyberSecEval 3,https://ai.meta.com/research/publications/cyberseceval-3-advancing-the-evaluation-of-cybersecurity-risks-and-capabilities-in-large-language-models/,LLM cybersecurity evaluation benchmark,Paper precedent + evaluation methodology,"Prompt-Injection Resistance, Hallucination Resistance",Recommended,Check latest paper/artifact version,Use as precedent for evaluating cybersecurity risks/capabilities in LLMs.,Not started,,,,Verify before redistribution
SRC-011,Tinker supervised fine-tuning tutorial,https://tinker-docs.thinkingmachines.ai/tutorials/basics/first-sft/,Fine-tuning documentation,Implementation guide for fine-tuned model,Fine-tuning workflow,Core,Check docs before running training,Use for SFT training loop setup and local data prep / remote GPU workflow.,Not started,,,,Verify before redistribution
SRC-012,AnythingLLM documentation,https://docs.anythingllm.com/,RAG system documentation,RAG setup documentation,RAG implementation,Core,Check exact provider/API support before experiment,"Use for workspace setup, document ingestion, model/provider configuration.",Not started,,,,Verify before redistribution
